ID,Elevation,COA
1,-227.626728205,1437.50519
2,-337.305161476,780.061355
7,-315.084018718,522.133426
8,-316.552312039,1134.90054
9,-318.278149157,1798.7888600000001
11,-333.660563732,0
12,-358.824273049,0
13,-261.758994545,86.260058
16,-299.555354129,3441.95614
22,-359.713857955,0
12870,-372.648285502,4152.475706113315
13086,-365.607284177,4162.0158011273825
14180,-252.96487393500001,0
14869,-235.955938391,0
17326,-229.278160095,3058.493964890721
17328,-230.410638204,2375.371964914064
17329,-230.643576413,3098.264619499792
17330,-230.295329459,3143.139403421258
17331,-230.344924262,NA
17332,-230.634151989,2131.1560763027614
17333,-230.055776924,3232.642309878096
17334,-229.226536798,NA
17579,-229.19580503,8827.326194293715
17580,-229.4296747,5640.388881419707
17581,-229.362976869,7872.377387463149
17582,-227.961856683,3736.536391157002
17583,-229.218586895,3199.068706246482
17584,-227.833063134,NA
18109,-337.332819076,5623.429358688995
18363,-340.479866323,2067.8930883276153
18364,-341.002227599,NA
18586,-225.132681439,4022.6811512654886
18590,-259.980424017,3744.1453576649656
18591,-254.775093646,3260.262937955
18592,-249.734398428,2988.900650722905
18593,-250.037108164,4279.240797925199
18594,-252.804406449,NA
18596,-250.240901328,4780.086465191958
18841,-225.553273236,4016.2790981100525
18842,-225.372575792,3137.055069640421
18843,-231.418559283,5540.509045010798
19097,-223.622307549,3766.000494096798
19098,-224.743087713,7443.362507862943
19099,-225.028142435,5502.274704919218
19100,-227.954116674,4983.141445849376
19101,-233.266147486,5844.634817438678
19356,-222.650149719,11995.194178403026
19358,-224.986723487,5300.8763944162865
19359,-227.437336608,5781.176829684762
19617,-223.218242324,7053.17807609087
19618,-224.458111574,5900.054495020184
19619,-226.426028452,2355.095628689854
20402,-224.190505723,3242.996555527537
20665,-224.552506149,2419.099942102781
20666,-228.130714162,NA
20922,-232.699753389,0
20929,-224.454034276,116.30476294685432
20930,-227.569084745,340.5228066622079
21188,-228.524641889,NA
21194,-224.727394002,2537.7767038515685
21195,-226.343405979,515.5612954269782
21451,-233.174168363,763.538668431713
21460,-223.768103639,87.87545301090226
21461,-225.021633534,100.24778194137629
21727,-223.753740512,699.7766402507374
22267,-258.685487771,0
22268,-267.719762666,0
22269,-270.253726379,0
22537,-265.354069735,0
24717,-224.57170056,1691.7533840663843
24718,-224.882011802,NA
24992,-242.234493699,13.933294166276347
